DIMMD	D IH M D
UNTRIMMD	AH N T R IH M D
OWST	OW S T
WANDERST	W AA N D AH R S T
GROWST	G R OW S T
IVE	AY V
CHILLEST	CH IH L AH S T
SUGARPLUMS	SH UH G ER P L AH M Z
SERAPHS	S EH R AH F S
HIGHBORN	HH AY B AO R N
KINSMEN	K IH N Z M EH N
SEPULCHRE	S EH P AH L K ER
ENVYING	EH N V AY IH NG
DISSEVER	D IH S EH V ER
NIGHTTIDE	N AY T AY D
SEPULCHRE	S EH P AH L K ER
BRILLIG	B R IH L AH G
SLITHY	S L IH TH IY
TOVES	T OW V Z
GYRE	JH AY R
GIMBLE	JH IH M B AH L
WABE	W EY B
MIMSY	M IH M Z IY
BOROGOVES	B AO R AH G OW V Z
MOME	M OW M
RATHS	R AE TH S
OUTGRABE	AW T G R EY B
JABBERWOCK	JH AE B AH R W AH K
JUBJUB	JH AH B AH B
FRUMIOUS	F R UW M IY AH S
BANDERSNATCH	B AE N D ER S N AE CH
VORPAL	V AO R P AH L
MANXOME	M AE NG K S OW M
TUMTUM	T AH M T AH M
UFFISH	AH F AH SH
JABBERWOCK	JH AE B AH R W AH K
WHIFFLING	W IH F L IH NG
TULGEY	T AH L JH IY
VORPAL	V AO R P AH L
SNICKERSNACK	S N IH K ER S N AE K
GALUMPHING	G AH L AH M F AH NG
JABBERWOCK	JH AE B AH R W AH K
FRABJOUS	F R AE B AH S
CALLOOH	K AE L UW
CALLAY	K AE L EY IY
BRILLIG	B R IH L AH G
SLITHY	S L IH TH IY
TOVES	T OW V Z
GYRE	JH AY R
GIMBLE	JH IH M B AH L
WABE	W EY B
MIMSY	M IH M Z IY
BOROGOVES	B AO R AH G OW V Z
MOME	M OW M
RATHS	R AE TH S
OUTGRABE	AW T G R EY B
